Layer_45, torch.Size([152, 8]), 148.5, 112, 104.0
Layer_46, torch.Size([152, 8]), 147.5, 104, 101.5
Layer_47, torch.Size([152, 8]), 154.5, 112, 107.0
Layer_0, torch.Size([172, 8]), 168.5, 124, 117.0
Layer_1, torch.Size([172, 8]), 173.0, 127, 120.0
Layer_2, torch.Size([172, 8]), 163.0, 121, 113.0
Layer_3, torch.Size([172, 8]), 156.5, 120, 110.5
Layer_4, torch.Size([172, 8]), 145.0, 114, 102.5
Layer_5, torch.Size([172, 8]), 147.0, 113, 102.5
Layer_6, torch.Size([172, 8]), 135.0, 108, 96.0
Layer_7, torch.Size([172, 8]), 131.5, 107, 93.5
Layer_8, torch.Size([172, 8]), 143.0, 113, 102.5
Layer_9, torch.Size([172, 8]), 143.5, 107, 99.0
Layer_10, torch.Size([172, 8]), 159.5, 120, 111.5
Layer_11, torch.Size([172, 8]), 162.5, 121, 113.0
Layer_12, torch.Size([172, 8]), 146.0, 113, 102.0
Layer_13, torch.Size([172, 8]), 155.0, 118, 108.0
Layer_14, torch.Size([172, 8]), 155.5, 117, 108.0
Layer_15, torch.Size([172, 8]), 150.5, 116, 106.0
Layer_16, torch.Size([172, 8]), 142.5, 106, 98.5
Layer_17, torch.Size([172, 8]), 155.0, 114, 107.5
Layer_18, torch.Size([172, 8]), 120.5, 104, 88.0
Layer_19, torch.Size([172, 8]), 129.5, 102, 92.0
Layer_20, torch.Size([172, 8]), 136.0, 110, 97.5
Layer_21, torch.Size([172, 8]), 145.5, 112, 102.0
Layer_22, torch.Size([172, 8]), 162.0, 122, 112.5
Layer_23, torch.Size([172, 8]), 154.0, 116, 107.0
Layer_24, torch.Size([172, 8]), 150.0, 114, 104.0
Layer_25, torch.Size([172, 8]), 144.0, 111, 100.5
Layer_26, torch.Size([172, 8]), 158.0, 118, 109.5
Layer_27, torch.Size([172, 8]), 159.5, 117, 110.5
Layer_28, torch.Size([172, 8]), 143.0, 113, 101.0
Layer_29, torch.Size([172, 8]), 165.0, 121, 113.5
Layer_30, torch.Size([172, 8]), 137.0, 106, 96.5
Layer_31, torch.Size([172, 8]), 133.5, 109, 95.5
Layer_32, torch.Size([172, 8]), 150.0, 113, 104.0
Layer_33, torch.Size([172, 8]), 150.5, 115, 105.0
Layer_34, torch.Size([172, 8]), 165.0, 119, 113.0
Layer_35, torch.Size([172, 8]), 160.0, 122, 111.5
Layer_36, torch.Size([172, 8]), 151.5, 115, 104.5
Layer_37, torch.Size([172, 8]), 158.5, 117, 109.5
Layer_38, torch.Size([172, 8]), 159.5, 117, 109.5
Layer_39, torch.Size([172, 8]), 161.5, 114, 110.5
Layer_40, torch.Size([172, 8]), 151.0, 111, 105.0
Layer_41, torch.Size([172, 8]), 157.5, 115, 108.0
Layer_42, torch.Size([172, 8]), 155.0, 114, 107.5
Layer_43, torch.Size([172, 8]), 153.0, 113, 105.5
Layer_44, torch.Size([172, 8]), 154.0, 114, 106.0
Layer_45, torch.Size([172, 8]), 148.0, 113, 103.5
Layer_46, torch.Size([172, 8]), 149.0, 113, 104.5
Layer_47, torch.Size([172, 8]), 157.5, 114, 107.5
Layer_0, torch.Size([126, 8]), 163.5, 122, 113.5
Layer_1, torch.Size([126, 8]), 151.0, 121, 107.5
Layer_2, torch.Size([126, 8]), 151.0, 116, 107.5
Layer_3, torch.Size([126, 8]), 141.0, 113, 100.5
