Layer 21: Entropy=3.8063, Top-4 Coverage=0.2131, Self-Transition=0.3998
Layer 22: Entropy=4.0359, Top-4 Coverage=0.1787, Self-Transition=0.3539
Layer 23: Entropy=4.0850, Top-4 Coverage=0.1802, Self-Transition=0.3566
Layer 24: Entropy=4.0472, Top-4 Coverage=0.1832, Self-Transition=0.3309
Layer 25: Entropy=3.9802, Top-4 Coverage=0.1977, Self-Transition=0.3768
Layer 26: Entropy=3.9843, Top-4 Coverage=0.1835, Self-Transition=0.3465
Layer 27: Entropy=4.0047, Top-4 Coverage=0.1858, Self-Transition=0.2923
Layer 28: Entropy=3.9875, Top-4 Coverage=0.1859, Self-Transition=0.3171
Layer 29: Entropy=3.9404, Top-4 Coverage=0.1859, Self-Transition=0.2969
Layer 30: Entropy=3.8145, Top-4 Coverage=0.1931, Self-Transition=0.3061
Layer 31: Entropy=4.0021, Top-4 Coverage=0.1792, Self-Transition=0.2923
Layer 32: Entropy=3.9658, Top-4 Coverage=0.1734, Self-Transition=0.2748
Layer 33: Entropy=4.0098, Top-4 Coverage=0.1557, Self-Transition=0.2767
Layer 34: Entropy=4.1052, Top-4 Coverage=0.1616, Self-Transition=0.2629
Layer 35: Entropy=4.0831, Top-4 Coverage=0.1739, Self-Transition=0.2684
Layer 36: Entropy=4.1633, Top-4 Coverage=0.1510, Self-Transition=0.2509
Layer 37: Entropy=3.9996, Top-4 Coverage=0.1617, Self-Transition=0.2739
Layer 38: Entropy=4.0371, Top-4 Coverage=0.1610, Self-Transition=0.2702
Layer 39: Entropy=4.0991, Top-4 Coverage=0.1644, Self-Transition=0.2684
Layer 40: Entropy=3.9629, Top-4 Coverage=0.1747, Self-Transition=0.2794
Layer 41: Entropy=3.8839, Top-4 Coverage=0.1494, Self-Transition=0.2417
Layer 42: Entropy=3.7439, Top-4 Coverage=0.1626, Self-Transition=0.3290
Layer 43: Entropy=3.7909, Top-4 Coverage=0.1642, Self-Transition=0.2757
Layer 44: Entropy=3.6849, Top-4 Coverage=0.1725, Self-Transition=0.2739
Layer 45: Entropy=3.7989, Top-4 Coverage=0.1663, Self-Transition=0.2638
Layer 46: Entropy=3.6518, Top-4 Coverage=0.1429, Self-Transition=0.2877
Layer 47: Entropy=3.5590, Top-4 Coverage=0.1645, Self-Transition=0.2537
Layer 0: Entropy=3.8324, Top-4 Coverage=0.2056, Self-Transition=0.2606
Layer 1: Entropy=3.9762, Top-4 Coverage=0.1993, Self-Transition=0.3326
Layer 2: Entropy=3.8814, Top-4 Coverage=0.1918, Self-Transition=0.3210
Layer 3: Entropy=3.7362, Top-4 Coverage=0.2179, Self-Transition=0.3792
Layer 4: Entropy=3.6073, Top-4 Coverage=0.2344, Self-Transition=0.4439
Layer 5: Entropy=3.5750, Top-4 Coverage=0.2577, Self-Transition=0.4439
Layer 6: Entropy=3.5889, Top-4 Coverage=0.2298, Self-Transition=0.4820
Layer 7: Entropy=3.6345, Top-4 Coverage=0.2411, Self-Transition=0.5953
Layer 8: Entropy=3.7079, Top-4 Coverage=0.2281, Self-Transition=0.4057
Layer 9: Entropy=3.6847, Top-4 Coverage=0.2404, Self-Transition=0.4206
Layer 10: Entropy=3.8907, Top-4 Coverage=0.2191, Self-Transition=0.3644
Layer 11: Entropy=3.9192, Top-4 Coverage=0.2125, Self-Transition=0.3189
Layer 12: Entropy=3.9583, Top-4 Coverage=0.2094, Self-Transition=0.3888
Layer 13: Entropy=3.7972, Top-4 Coverage=0.2273, Self-Transition=0.3591
Layer 14: Entropy=4.0299, Top-4 Coverage=0.1906, Self-Transition=0.3337
Layer 15: Entropy=3.9325, Top-4 Coverage=0.2025, Self-Transition=0.3422
